infoid,Vehicle_name,Odometer,License_plate,Cubic_power,Manufacture_year,ID_VehicleBrand,ID_VehicleLineup,Condition,ID_VehicleType,ID_Color
102,Piaggio Liberty 125,20000,,124cc,201201,29,355,used,1,1
103,Suzuki GZ 150A,5000,,149,202007,34,414,used,2,3
104,Piaggio Liberty 125,5000,,124cc,201301,29,355,used,1,3
105,Honda Vision 110,5000,,108,201501,15,135,used,1,10
106,Honda Wave Alpha 100,5000,,97.1,201908,15,1055,used,2,1
107,Suzuki GZ 125,5000,,124,201604,34,414,used,2,3
108,Honda Vario 150,5000,,150,202108,15,178,used,1,3
109,Suzuki GD 110,5000,,112.8,202101,34,408,used,2,10
110,Yamaha Janus 2019,5000,,125,202001,40,525,used,1,11
111,Yamaha NVX 125,5000,,125,202101,40,542,used,1,3
112,Suzuki GSX R150,5000,,147.3,201912,34,431,used,2,10
113,Honda Wave Alpha RSX 110 Fi,20000,,110,201508,15,1055,used,2,10
114,Honda LEAD 110,5000,,107,201405,15,145,used,1,10
115,Honda LEAD 125 FI,5000,,125,202201,15,145,used,1,2
116,Suzuki GZ 150A,5000,,149,202101,34,414,used,2,10
117,Yamaha FZ S,5000,,153,201811,40,537,used,2,3
118,Honda Click 110,5000,,110,201008,15,163,used,2,10
119,Honda Wave Alpha 100,5000,,97.1,201101,15,1055,used,2,15
120,Honda MSX 125,5000,,124.9,201801,15,165,used,2,1
121,Yamaha Sirius 110,5000,,110.3,201801,40,512,used,2,1
122,MV Agusta F3 675,5000,,675,202010,26,317,used,3,3
123,Yamaha Cuxi 100,5000,,102,201808,40,513,used,1,3
124,Yamaha R15 V2 150,5000,,,201801,40,1077,used,3,10
125,Honda PCX 125,5000,,124.9,201601,15,166,used,1,1
126,SYM Elite 50,5000,,49.5,202106,35,445,used,1,3
127,SYM Shark 125,5000,,125,201401,35,449,used,1,3
128,Honda Air Blade 150 Fi,5000,,150,202107,15,148,used,1,13
129,Yamaha MT 15,5000,,155,202112,40,531,used,2,15
130,Kymco K-Pipe 50,5000,,49,202007,21,252,used,2,13
131,Honda MSX 125,5000,,124.9,201801,15,165,used,2,3
132,Honda CBR 150 R,5000,,149.4,202109,15,168,used,2,15
133,Honda CBF 190,5000,,190,202105,15,193,used,3,10
134,Honda Rebel 150,5000,,150cc,201601,15,181,used,2,3
135,Benelli TNT 125,5000,,"124,8",202001,3,15,used,2,1
136,Yamaha Acruzo Deluxe 2016,5000,,125,202107,40,522,used,1,3
137,Yamaha Exciter 150 RC,5000,,149.7,201912,40,535,used,2,15
138,Honda Wave Alpha 110,10000,,109.16,201901,15,1055,used,2,3
139,Honda Vision 110,5000,,108,201405,15,135,used,1,7
140,Yamaha Grande Blue Core,5000,,124,202201,40,520,used,1,14
141,Honda Click 110,5000,,110,201501,15,163,used,2,7
142,Honda Dream 50 R,5000,,49,202201,15,132,used,2,15
143,Honda Wave Alpha 100,5000,,97.1,201406,15,1055,used,2,1
144,Honda Air Blade 110 FI,20000,,108,201108,15,148,used,1,1
145,Honda PCX 125,5000,,124.9,201401,15,166,used,1,1
146,Suzuki Raider R 150 FI,5000,,147.3,202112,34,402,used,2,1
147,Honda Air Blade 125 FI,5000,,125,201701,15,148,used,1,10
148,Honda Vision 110,5000,,108,202107,15,135,used,1,15
149,Honda Wave Alpha 110,5000,,109.16,201206,15,1055,used,2,13
150,Yamaha Grande Blue Core,5000,,124,201901,40,520,used,1,2
151,Honda Wave Alpha 100,5000,,97.1,201002,15,1055,used,2,1
152,Honda Air Blade 125 FI,5000,,125,201401,15,148,used,1,10
153,Yamaha Luvias Fi,30000,,124.9,201105,40,521,used,1,7
154,Yamaha NVX 155 ABS,5000,,155,202005,40,542,used,1,15
155,Yamaha Sirius 110,5000,,110.3,201801,40,512,used,2,1
156,Yamaha Sirius Fi,5000,,115,201909,40,512,used,2,14
157,Yamaha Luvias Fi,30000,,124.9,201003,40,521,used,1,10
158,Honda Wave Alpha 110i,10000,,109.1,201801,15,1055,used,2,1
159,Honda Air Blade 125 FI,5000,,125,201605,15,148,used,1,8
160,Honda Wave Alpha 110,5000,,109.16,201001,15,1055,used,2,10
161,Honda Air Blade 125 FI,20000,,125,201503,15,148,used,1,10
162,Honda Future 125,5000,,"124,9",202009,15,198,used,2,7
163,Yamaha R15 V3,5000,,155,202006,40,540,used,2,3
164,Yamaha Exciter 135,30000,,135,201210,40,535,used,2,14
165,Yamaha R15 V2 150,5000,,,201701,40,1077,used,3,15
166,Honda Vario 150,5000,,150,202111,15,178,used,1,3
167,Yamaha Nozza Grande 125,5000,,113,201908,40,514,used,1,2
168,Honda PS 150i,20000,,123,201101,15,156,used,1,13
169,Suzuki Raider R 150 FI,5000,,147.3,201910,34,402,used,2,8
170,Honda Air Blade 110 FI,5000,,108,201609,15,148,used,1,1
171,Nioshima Vespa S,20000,,1500W,202003,119,1614,used,4,3
172,Honda Air Blade 110,5000,,108,201401,15,148,used,1,3
173,Honda SH 125i,10000,,125,201711,15,167,used,1,5
174,Honda Vario 150,5000,,150,202011,15,178,used,1,16
175,Piaggio Zip 100,5000,,96.2,202011,29,348,used,1,10
176,Honda Rebel 300,5000,,234,202107,15,181,used,3,10
177,Piaggio Vespa LX,30000,,124.5,201305,29,349,used,1,10
178,Honda Air Blade 125 FI,5000,,125,202202,15,148,used,1,5
179,Benelli BN 302,5000,,300,201812,3,11,used,3,3
180,Piaggio Liberty 125,20000,,124cc,201401,29,355,used,1,6
181,Ducati Mini 110,5000,,110,202001,9,1075,used,3,6
182,Yamaha TFX 150,5000,,149.8,202011,40,539,used,2,10
183,Honda Vision 110,5000,,108,201609,15,135,used,1,10
184,Honda Vision 110,30000,,108,201205,15,135,used,1,10
185,Honda LEAD 125 FI,5000,,125,202201,15,145,used,1,3
186,Piaggio Vespa LX,10000,,124.5,201401,29,349,used,1,11
187,Suzuki Hayate 125 FI,20000,,124.3,201405,34,403,used,1,1
188,Piaggio Liberty 125,5000,,124cc,201605,29,355,used,1,9
189,Honda LEAD 125 FI,5000,,125,201609,15,145,used,1,2
190,Honda Winner X 150,5000,,150,202207,15,1076,used,2,10
191,Honda Air Blade 125 FI,5000,,125,201601,15,148,used,1,6
192,Honda Wave Alpha 110i,5000,,109.1,200209,15,1055,used,2,14
193,Yamaha Janus 2019,5000,,125,201901,40,525,used,1,10
194,Yamaha Nouvo 4 135,30000,,135,201107,40,1082,used,2,3
195,Yamaha Sirius Fi,5000,,115,202007,40,512,used,2,15
196,Honda Wave Alpha RSX 110 Fi,5000,,110,201805,15,1055,used,2,8
197,SYM Shark 170,5000,,168.9,201801,35,449,used,1,1
198,Honda Wave Alpha 110,5000,,109.16,200911,15,1055,used,2,1
199,Honda Wave Alpha 110,5000,,109.16,201907,15,1055,used,2,15
